Date,White,Black,Result,Elo White,Elo Black,Time Control,Game URL
2023-11-11 11:59:54,let1982,riya123498,checkmated,430,392,600,https://www.chess.com/game/live/82133092110
2023-11-11 12:04:27,riya123498,tusharchamp,resigned,383,374,600,https://www.chess.com/game/live/82133165670
2023-11-11 12:09:08,moemanferchichi,riya123498,resigned,300,373,600,https://www.chess.com/game/live/82133206190
2023-11-11 12:11:30,riya123498,Akkipro750,resigned,367,452,600,https://www.chess.com/game/live/82133220550
2023-11-11 12:12:45,AleksandrZAVDV33,riya123498,resigned,433,360,600,https://www.chess.com/game/live/82133235178
2023-11-11 15:17:57,riya123498,Jewym,checkmated,354,435,600,https://www.chess.com/game/live/82134508158
2023-11-11 15:23:25,riya123498,shaveengunatilleke,win,360,258,600,https://www.chess.com/game/live/82134614286
2023-11-11 15:24:37,b0grat,riya123498,checkmated,424,353,600,https://www.chess.com/game/live/82134657198
2023-11-11 15:27:08,tkh06,riya123498,win,378,362,600,https://www.chess.com/game/live/82134667848
2023-11-11 15:36:46,riya123498,Luisana5,win,368,282,600,https://www.chess.com/game/live/82134685942
2023-11-11 15:38:32,zhangjinetetetet,riya123498,checkmated,464,362,600,https://www.chess.com/game/live/82134760706
2023-11-11 15:56:20,riya123498,manu4488,resigned,355,434,600,https://www.chess.com/game/live/82134775588
2023-11-11 15:57:03,riya123498,IK_18,win,364,393,600,https://www.chess.com/game/live/82134914944
2023-11-11 16:05:18,anu_sz_k,riya123498,resigned,444,358,600,https://www.chess.com/game/live/82134921388
2023-11-11 16:16:54,lenaaaaa709,riya123498,win,254,364,600,https://www.chess.com/game/live/82134985570
2023-11-11 16:22:04,riya123498,SUSHANTGG,resigned,356,387,600,https://www.chess.com/game/live/82135076702
2023-11-11 16:30:20,pilotrl,riya123498,checkmated,379,348,600,https://www.chess.com/game/live/82135116816
2023-11-11 16:39:36,riya123498,KillyouMO,checkmated,342,447,600,https://www.chess.com/game/live/82135182414
2023-11-11 16:45:03,SHERrYpapa,riya123498,win,239,348,600,https://www.chess.com/game/live/82135256242
2023-11-11 16:56:47,riya123498,abidbruh,resigned,341,415,600,https://www.chess.com/game/live/82135310738
2023-11-13 14:12:55,awesomeccd,riya123498,resigned,301,332,600,https://www.chess.com/game/live/82151195498
2023-11-13 14:15:46,riya123498,AndreNalli,win,340,319,600,https://www.chess.com/game/live/82151323090
